Number;NumberGraphsPerFrameworkTypes
0;2074
1;725
2;589
3;463
4;97
5;83
6;73
7;55
8;54
9;52
10;48
11;43
12;38
13;37
14;34
15;32
16;30
17;27
18;27
19;25
20;25
21;24
22;22
23;19
24;19
25;15
26;14
27;13
28;13
29;12
30;12
31;12
32;11
33;10
34;10
35;10
36;8
37;8
38;7
39;7
40;7
41;6
42;6
43;6
44;6
45;5
46;5
47;5
48;4
49;4
50;4
51;4
52;4
53;4
54;4
55;3
56;3
57;3
58;3
59;3
60;3
61;3
62;3
63;2
64;2
65;2
66;2
67;2
68;2
69;2
70;2
71;2
72;2
73;2
74;2
75;2
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
