Number;NumberInterplaysPerProjects
0;31
1;23
2;19
3;18
4;16
5;15
6;15
7;14
8;14
9;14
10;13
11;13
12;12
13;12
14;12
15;12
16;11
17;11
18;11
19;11
20;10
21;10
22;10
23;10
24;10
25;9
26;9
27;9
28;9
29;9
30;9
31;8
32;8
33;8
34;8
35;8
36;8
37;8
38;8
39;8
40;7
41;7
42;6
43;6
44;6
45;6
46;6
47;6
48;6
49;5
50;5
51;5
52;5
53;5
54;5
55;5
56;5
57;5
58;5
59;5
60;5
61;5
62;5
63;5
64;5
65;5
66;5
67;5
68;5
69;5
70;5
71;5
72;4
73;4
74;4
75;4
76;4
77;4
78;4
79;4
80;4
81;4
82;4
83;4
84;4
85;4
86;4
87;4
88;4
89;4
90;4
91;4
92;4
93;4
94;4
95;3
96;3
97;3
98;3
99;3
100;3
101;3
102;3
103;3
104;3
105;3
106;3
107;3
108;3
109;3
110;3
111;3
112;3
113;3
114;3
115;3
116;3
117;3
118;3
119;3
120;3
121;3
122;3
123;3
124;3
125;3
126;3
127;3
128;3
129;3
130;3
131;3
132;3
133;2
134;2
135;2
136;2
137;2
138;2
139;2
140;2
141;2
142;2
143;2
144;2
145;2
146;2
147;2
148;2
149;2
150;2
151;2
152;2
153;2
154;2
155;2
156;2
157;2
158;2
159;2
160;2
161;2
162;2
163;2
164;2
165;2
166;2
167;2
168;2
169;2
170;2
171;2
172;2
173;2
174;2
175;2
176;2
177;2
178;2
179;2
180;2
181;2
182;2
183;2
184;2
185;2
186;2
187;2
188;2
189;2
190;2
191;2
192;2
193;2
194;2
195;2
196;2
197;2
198;2
199;2
200;2
201;2
202;2
203;2
204;2
205;2
206;2
207;2
208;2
209;2
210;2
211;2
212;1
213;1
214;1
215;1
216;1
217;1
218;1
219;1
220;1
221;1
222;1
223;1
224;1
225;1
226;1
227;1
228;1
229;1
230;1
231;1
232;1
233;1
234;1
235;1
236;1
237;1
238;1
239;1
240;1
241;1
242;1
243;1
244;1
245;1
246;1
247;1
248;1
249;1
250;1
251;1
252;1
253;1
254;1
255;1
256;1
257;1
258;1
259;1
260;1
261;1
262;1
263;1
264;1
265;1
266;1
267;1
268;1
269;1
270;1
271;1
272;1
273;1
274;1
275;1
276;1
277;1
278;1
279;1
280;1
281;1
282;1
283;1
284;1
285;1
286;1
287;1
288;1
289;1
290;1
291;1
292;1
293;1
294;1
295;1
296;1
297;1
298;1
299;1
300;1
301;1
302;1
303;1
304;1
305;1
306;1
307;1
