Number;NumberInterplaysPerGraphs
0;2
1;5
2;5
3;2
4;5
5;4
6;1
7;2
8;2
9;1
10;6
11;9
12;2
13;6
14;6
15;5
16;1
17;1
18;5
19;2
20;1
21;1
22;3
23;1
24;5
25;2
26;2
27;5
28;6
29;6
30;2
31;2
32;1
33;1
34;1
35;1
36;5
37;5
38;1
39;6
40;6
41;5
42;5
43;2
44;4
45;5
46;12
47;6
48;6
49;6
50;6
51;5
52;5
53;1
54;5
55;1
56;1
57;1
58;5
59;1
60;1
61;1
62;2
63;5
64;6
65;2
66;3
67;4
68;1
69;5
70;5
71;1
72;1
73;1
74;2
75;2
76;2
77;1
78;1
79;4
80;1
81;5
82;5
83;5
84;5
85;5
86;5
87;3
88;1
89;5
90;1
91;1
92;1
93;1
94;1
95;1
96;5
97;5
98;11
99;5
100;1
101;1
102;1
103;1
104;6
105;1
106;6
107;5
108;5
109;5
110;5
111;5
112;5
113;5
114;5
115;5
116;5
117;2
118;2
119;1
120;1
121;3
122;2
123;1
124;7
125;4
126;1
127;1
128;5
129;5
130;2
131;4
132;1
133;1
134;1
135;4
136;6
137;1
138;5
139;5
140;2
141;5
142;1
143;1
144;1
145;1
146;1
147;4
148;5
149;4
150;5
151;4
152;1
153;5
154;1
155;2
156;5
157;2
158;1
159;1
160;3
161;1
162;1
163;6
164;1
165;6
166;1
167;2
168;4
169;1
170;1
171;5
172;2
173;5
174;5
175;1
176;1
177;1
178;1
179;1
180;1
181;1
182;1
183;1
184;1
185;1
186;6
187;6
188;1
189;2
190;5
191;5
192;1
193;4
194;1
195;2
196;1
197;5
198;5
199;1
200;5
201;1
202;1
203;1
204;1
205;1
206;1
207;2
208;1
209;2
210;5
211;5
212;6
213;1
214;9
215;3
216;1
217;1
218;2
219;1
220;1
221;3
222;2
223;1
224;3
225;1
226;1
227;6
228;6
229;5
230;3
231;1
232;1
233;1
234;2
235;1
236;2
237;2
238;5
239;5
240;2
241;1
242;1
243;1
244;2
245;2
246;1
247;1
248;1
249;1
250;1
251;5
252;1
253;3
254;1
255;1
256;1
257;5
258;2
259;6
260;3
261;6
262;1
263;1
264;1
265;1
266;1
267;4
268;1
269;5
270;5
271;5
272;6
273;6
274;2
275;5
276;1
277;1
278;1
279;2
280;1
281;1
282;1
283;1
284;1
285;5
286;6
287;5
288;6
289;6
290;5
291;5
292;5
293;5
294;6
295;2
296;2
297;1
298;2
299;1
300;1
301;2
302;1
303;1
304;2
305;4
306;1
307;2
308;3
309;11
310;1
311;1
312;2
313;4
314;1
315;2
316;5
317;1
318;6
319;9
320;4
321;6
322;1
323;1
324;1
325;1
326;1
327;2
328;1
329;5
330;5
331;5
